#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x;;
#Bloodlines of Numenor;;;;;;;
blood_of_anarion;Blood of Anárion;Sang d'Anárion;;;;;x
blood_of_anarion_desc;This character has strong traces of the blood of Anárion, second son of Elendil and younger brother of Isildur. His son Meneldil was the last man born in Númenor before its downfall.;Ce personnage est un descendant d'Anarion, roi du Gondor, deuxième fils d'Elendil et frère d'Isildur. Son fils Meneldil est le dernier homme a être né en Numenor avant sa submersion.;;;;;x
blood_of_numenor;True Blood of Númenor;Sang de Numenor;;;;;x
blood_of_numenor_desc;This character is an heir of the fallen island of Númenor, descended in a line unmingled, and so is blessed with a longer life than most men. Men of such a prestigious bloodline are rare in the late Third Age.;Ce personnage est un héritier de l'antique Numenor, et est béni d'une longue vie et d'une vue perçante.;;;;;x
blood_of_isildur;Heir of Isildur;Héritier d'Isildur;;;;;x
blood_of_isildur_desc;This character is an heir of Isildur, King of Arnor, who slayed Sauron during the War of the Last Alliance. He is an heir to the crown of Gondor.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernire Alliance. Ce personnage est un des prétendants au trône du Gondor.;;;;;x
blood_of_numenor2;Strong Traces of Numenorean Blood;Sang de Numenor;;;;;x
blood_of_numenor2_desc;This character has strong traces of Númenorean heritage. Usually in the late 3rd Age such bloodlines are only found amongst the major houses of Arnor and Gondor, many others of their kin have mingled with lesser men over the generations and no longer have the long life of their ancestors.;Ce personnage montre des traces de l'antique sang de Numenor.;;;;;x
#Melkor;;;;;;;
balrog;Balrog;Balrog;;;;;x
balrog_desc;Balrogs are the Valaraukar, spirits of the Maiar that were seduced and corrupted by Melkor into his service.;Les Balrogs sont les Valaraukar, Maiar de feu corrompus par Melkor et qui depuis, servent son pouvoir.;;;;;x
dragon;Dragon;Dragon;;;;;x
dragon_desc;This character is a dragon, an ancient race of flying reptile-like creatures, created by Melkor.;Ce personnage est un Dragon, une race ancienne créée par Melkor.;;;;;x
nazgul;Nazgûl;Nazgul;;;;;x
nazgul_desc;This character is a Nazgûl, a Ring-Wraith, one of the nine kings of men given rings of power by Sauron and now among his most terrible servants.;Ce personnage est un Nazgul, un esprit servent de l'Anneau. Homme jadis, il a été corrompu par l'un des neuf Anneaux des Hommes.;;;;;x
orkish;At Deaths Door;;;;;;x
orkish_desc;This character is going to die.;;;;;;x
half_orc;Creature of Melkor;Creature of Melkor;;;;;x
half_orc_desc;This character belongs to one of the corrupted races, created by Melkor.;Ce personnage a du sang d'orc dans les veines, ce qui en fait une créature horrible.;;;;;x
spider;Great Spider;Araignée;;;;;x
spider_desc;Great Spiders, also known as the Spawn of Ungoliant, are a race of oversized arachnids that live in Middle-Earth, particularly in dark and perilous places. The Spiders can speak to one another, though only those imbued with the power of the Ainur could understand them. Like Orcs and Goblins, Spiders are known to detest light.;Les Grandes Araignées, aussi connues sous le terme de Descendantes d'Ungoliant, sont une race d'araignées géantes vivant en Terre du Milieu, particulièrement dans les endroits sombres et dangereux. Elles possèdent un langage qui leur est propre, et qui peut être traduit par le Pouvoir d'un Ainur. Comme les Orques ou les Gobelins, elles detestent la lumière.;;;;;x
wight;Wight;Ombre;;;;;x
wight_desc;Wight is the name given to undead beings, especially those which inhabit the tombs of Dúnedain nobles, taking their power from a buried lord.;;;;;;x
cold_drake;Ringlókë;Ringlókë;;;;;x
cold_drake_desc;"The Ringlóki (Cold-drakes) were lesser dragons; those of dragon-kind who did not have the ability to make fire.";"Les Ringlóki ou Dragons-de-Glace sont une des especes de dragons moindres; une espèce de dragon qui n'a pas la possibilité de cracher du feu, mais capable de voler.";;;;;x
uruloke;Urulókë;Urulókë;;;;;x
uruloke_desc;Urulókë (plural Urulóki) is the Quenya name of the fire-drakes, the more powerful of the two fundamental divisions of dragon-kind (the other being the cold-drakes), who, as the name suggests, were able to breathe fire. Glaurung, the Father of Dragons, was the first of the species.;Urulókë (pluriel Uruloki) est le nom quenya des dragons-de-feu, la plus puissante des deux especes principales de la race des Dragons (l'autre étant les Dragons-de-Glace), qui, comme son nom l'indique, est en mesure de cracher du feu. Glaurung, le Père des Dragons, a été le premier de cette espèce.;;;;;x
long_worms;Penrámalókë;Penrámalókë;;;;;x
long_worms_desc;"The Penrámalóki, or ""Drakes without Wings"", are Long Worms, a type of dragon found in the northern parts of Middle-earth, and perhaps elsewhere, generally believed to be long and without legs. The most famous long-worm (and in fact the only one mentioned as such) was Scatha, who preyed on the Dwarves and Men of the Grey Mountains, and was slain by Fram of the Éothéod.";"Les Penrámalóki, ou ""Dragons sans ailes"", sont des Grands-Vers, un type de Dragon trouvé dans les régions du nord de la Terre du Milieu, et peut-être ailleurs, généralement décrits comme longs et sans jambes. Le plus célèbre long-ver (et en fait le seule mentionné en tant que tel) était Scatha, qui a attaqué les Nains et les Hommes des Montagnes Grises, et fut tué par Fram de l'Éothéod.";;;;;x
#Elves;;;;;;;
beard_elf;Third Cycle of Life;Troisième Cycle de la Vie;;;;;x
beard_elf_desc;This character is very old, even for an Elf, and is now in the third cycle of their life. This great age adorns him with a beard, an unusual feature in an Elf.;Ce personnage est réellement âgé, même pour un elfe, et est entré dans le Troisième Cycle de sa vie. C'est pourquoi une barbe pousse sur son visage, alors que la plupart de son peuple est imberbe.;;;;;x
elf;Elf;Elf;;;;;x
