#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITorcfights.0;Time to Challenge !;Le Temps du Défi !;;;;;;;;;;;;x
EVTDESCorcfights.0;You are one of the most powerful warriors of your clan, and your chief $LIEGE$ is so weak ... It's time to replace this incapable vermin and take your rightful place, the Head of the Clan! You can go to the throne, and now challenge this impostor. Only the stronger can survive !;Vous êtes l'un des plus puissants guerriers de votre clan, et votre chef est tellement faible... Il est temps de remplacer cette vermine incapable, et de prendre la place qui vous revient, celle de Chef du Clan! Vous pouvez vous diriger vers le trône, et défiez dès maintenant cet imposteur. Seul le plus fort doit survivre !;;;;;;;;;;;;x
EVTOPTAorcfights.0;I challenge you, $LIEGE$!;Je te défie, $LIEGE$ !;;;;;;;;;;;;x
EVTOPTBorcfights.0;No.. It's not my time. ;Non, ce n'est pas mon heure.;;;;;;;;;;;;x
EVTTITorcfights.1;Duel;Duel.;;;;;;;;;;;;x
EVTDESCorcfights.1;[From.GetBestName] is coming to you, a weapon in his hand. He claims that he's the stronger member of your clan, and then should be the chief. ;[From.GetBestName] s'approche de vous, une arme à la main. Il déclare devant toute l'assemblée qu'il est le plus fort de votre clan, et qu'à ce titre, il mérite de prendre votre place.;;;;;;;;;;;;x
EVTOPTAorcfights.1;I'll crush this vermin !;J'écraserais cette vermine !;;;;;;;;;;;;x
EVTOPTBorcfights.1;I can't resist him…;Je ne peux résister à sa force…;;;;;;;;;;;;x
EVTTITorcfights.2;Duel;Duel.;;;;;;;;;;;;x
EVTDESCorcfights.2;[From.GetBestName] accept your duel, and will fight against you. If you win, you'll be the new chief. If not… you'll certainly be imprisonned… or be killed.;[From.GetBestName] accepte votre duel, et se battra contre vous. Si vous gagnez, vous gagnerez son titre, sinon… vous finirez au mieux en prison, au pire sous terre.;;;;;;;;;;;;x
EVTOPTAorcfights.2;To death !;A mort !;;;;;;;;;;;;x
EVTOPTBorcfights.2;Maybe not a good idea…;Ce n'est peut-être pas une bonne idée…;;;;;;;;;;;;x
EVTDESCorcfights.3;You're ready to fight against [From.GetBestName]. As you're coming upon him, [From.GetSheHe] turns and flees. You pursue, but lose track of [From.GetHerHim].;Vous vous approchez de [From.GetBestName]. Voyant que vous vous apprêtez à vous battre , [From.GetSheHe] préfère finalement prendre la fuite. Vous le poursuivez, mais il disparait rapidement de votre vue.;;;;;;;;;;;;x
EVTOPTAorcfights.3;Vermin!;Vermine!;;;;;;;;;;;;x
EVTDESCorcfights.4;As [FromFrom.GetBestName] falls before you, you take the crown, and claim to all that you're the true chief of the clan.;Alors que vous venez de défaire [FromFrom.GetBestName], vous ramassez la couronne, et vous proclamez que vous êtes le seul chef du Clan.;;;;;;;;;;;;x
EVTOPTAorcfights.4;I'm a True Warrior.;Je suis un Véritable Guerrier.;;;;;;;;;;;;x
EVTDESCorcfights.5;[FromFrom.GetBestName] lies helpless at your feet, [FromFrom.GetHerHis] weapon discarded and yours at [FromFrom.GetHerHis] throat.;[FromFrom.GetBestName] est étendu impuissant à vos pieds, son arme brisée et la votre à sa gorge. ;;;;;;;;;;;;x
EVTOPTAorcfights.5;The Throne is for ME !;Le Trône est à MOI !;;;;;;;;;;;;x
EVTDESCorcfights.6;You are defeated. [From.GetBestName] takes you prisoner, and you'll certainly be killed later, maybe during a feast.;Vous êtes défait. [From.GetBestName] vous garde prisonnier, vous tuant certainement plus tard, peut-être à l'occasion d'un banquet...;;;;;;;;;;;;x
EVTOPTAorcfights.6;How can it be?;Comment est-ce possible?;;;;;;;;;;;;x
claim_throne_orcs;Fight for Leadership;Se battre pour le Leadership;;;;;;;;;;;;x
claim_throne_orcs_desc;Fight for Leadership;Se battre pour le Leadership;;;;;;;;;;;;x
EVTDESCorcfights.8;You refused the duel, as the coward you are. Your vassals will respect you more, and in disgrace, you are forced to give up your throne. Ever, you will be the one who refused to fight.;Vous avez refusé le duel, comme le lâche que vous êtes. Vos vassaux ne vous respectent plus, et dans le déshonneur, vous êtes contraint d'abandonner votre trône. A jamais, vous serez celui qui a refusé le combat.;;;;;;;;;;;;x
EVTOPTAorcfights.8;I don't want to die!;Je ne veux pas mourir !;;;;;;;;;;;;x
opinion_frightened;Refused a duel;A refusé un Duel;;;;;;;;;;;;x
