#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
#ELVEN INFERTILITY;;;;;;x
EVTTITelveninfertility.0;Infertile Emptiness;;;;Vuoti sterili;x
EVTDESCelveninfertility.0;There's no time to enjoy your little creature that a huge sense of emptiness hits you. Within you, you know that this might be the last of your children …;;;;Neanche il tempo di gioire della tua piccola creatura che un enorme senso di vuoto t'assale. Dentro di te, sai che questo potrebbe essere l'ultimo dei tuoi figli...;x
EVTOPTAelveninfertility.0;May Nessa protect me…;;;;Possa Nessa proteggermi…;x
EVTDESCelveninfertility.2;When an elf marries another one, he links his spirit, his fea, to that of his new spouse. Thus, he can't remarry, even after her husband disappears.;Lorsqu'un elfe se marie, il lie son esprit à celui de son nouveau conjoint. Ainsi, il ne peut plus se remarier, même une fois que son conjoint disparait. ;;;;x
EVTOPTAelveninfertility.2;Our spirits are linked forever.;Nos esprits sont liés pour toujours.;;;I nostri spiriti saranno collegati per sempre.;x
#DWARVEN INFERTILITY/DEATH;;;;;;x
EVTOPTAdwarveninfertility.0;May Aulë protect me…;;;;Possa Aulë proteggermi…;x
EVTTITdwarveninfertility.1;Dwarven Death;;;;Morte di un Nano;x
EVTDESCdwarveninfertility.1;I'm dying…;;;;Sto morendo…;x
EVTOPTAdwarveninfertility.1;May Aulë protect me…;;;;Possa Aulë proteggermi…;x
#HUMAN INFERTILITY;;;;;;x
OPTAhumaninfertility.0;May Eru protect me…;;;;Possa Eru proteggermi…;x
