#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#INTIRIGUE
amateurish_plotter;Rowdy Ruffian;Comploteur amateur;Dilettantischer Verschwörer;;Complotador amateur;;;;;;;;;x
amateurish_plotter_desc;The Rowdy Ruffian has received an education emphasizing intrigue skills. Unfortunately, it didn't stick.;Ce personnage a reçu une éducation axée sur la compétence d’intrigue. Mais cela n’a pas donné grand-chose.;Der dilettantische Verschwörer hat eine auf intrigante Fähigkeiten setzende Ausbildung genossen. Leider konnte er sich nicht aber nicht allzu viel merken.;;El complotador amateur ha recibido una educación centrada en sus habilidades para la intriga pero, desafortunadamente, no da la talla.;;;;;;;;;x
flamboyant_schemer;Guileful Goon;Intrigant flamboyant;Unnachahmlicher Ränkeschmieder;;Maquinador brillante;;;;;;;;;x
flamboyant_schemer_desc;Guileful Goon thrive on court intrigue and fancy themselves masters of the trade. However, their lack of secrecy tends to endanger even their best efforts.;Ce personnage se délecte des intrigues de la Cour, mais son manque de discrétion a une fâcheuse tendance à nuire aux efforts qu’il déploie.;Unnachahmliche Ränkeschmieder blühen bei Hofintrigen auf und halten sich selbst für Meister ihres Faches. Ihre fehlende Geheimnishaltung gefährdet aber selbst ihre besten Versuche.;;Las intrigas en la corte son el pan de cada día de los maquinadores brillantes, orgullosos de ser maestros en este arte. Sin embargo, su falta de discreción sabotea incluso sus mejores esfuerzos.;;;;;;;;;x
intricate_webweaver;Clever Contriver;Habile intrigant;Undurchschaubarer Intrigenspinner;;Complicado tejedor de redes;;;;;;;;;x
intricate_webweaver_desc;The Clever Contriver is a master manipulator, well suited to a life of intrigue.;Ce personnage est un manipulateur intelligent et doué, prêt à mener une vie d’intrigant.;Der undurchschaubare Intrigenspinner manipuliert meisterhaft und ist für ein Leben voller Intrigen wie geschaffen.;;Este personaje es un maestro de la manipulación y encaja perfectamente en una vida de intrigas.;;;;;;;;;x
elusive_shadow;Meticulous Manipulator;Ombre insaisissable;Flüchtiger Schatten;;Sombra esquiva;;;;;;;;;x
elusive_shadow_desc;The Meticulous Manipulator has mastered the art of Intrigue and should make a perfect Spymaster - as well as an ideal mentor for prospective schemers.;Ce personnage est un véritable maître de l’intrigue et fait un parfait Maître-Espion, de même que le mentor idéal des amateurs d’intrigues.;Der flüchtige Schatten hat die Kunst der Intrige gemeistert und sollte einen perfekten Agentenführer abgeben. Auch als Mentor für aufstrebende Verschwörer wäre er ideal.;;Una sombra esquiva ha dominado el arte de la Intriga y sería un jefe de espías perfecto, así como un mentor ideal para futuros complotadores.;;;;;;;;;x

#DIPLOMACY
naive_appeaser;Dull Diplomat;Conciliateur naïf;Naiver Beschwichtiger;;Pacificador ingenuo;;;;;;;;;x
naive_appeaser_desc;Dull Diplomats want to be well liked and fancy themselves diplomats. Unfortunately, everyone else just tends to bully them.;Ce personnage aime être aimé et se veut être un bon diplomate. Malheureusement, il n’en est rien.;Naive Beschwichtiger möchten von allen gemocht werden und halten sich selbst für Diplomaten. Unglücklicherweise werden sie von allen anderen drangsaliert.;;Los pacificadores ingenuos desean agradar a la gente y se consideran diplomáticos. Desafortunadamente, solo consiguen que los demás se burlen.;;;;;;;;;x
underhanded_rogue;Able Ambassador;Escroc sournois;Hinterlistiger Schurke;;Truhán artero;;;;;;;;;x
underhanded_rogue_desc;The Able Ambassador is a rough but decently effective diplomat.;Ce personnage manque de finesse, mais est généralement utile en tant que diplomate.;Der hinterlistige Schurke ist ein grober, aber gar nicht ineffizienter Diplomat.;;El truhán artero es un diplomático decente, aunque sin pulir.;;;;;;;;;x
charismatic_negotiator;Riveting Rhetorician;Négociateur charismatique;Charismatischer Verhandlungsführer;;Negociador carismático;;;;;;;;;x
charismatic_negotiator_desc;The Riveting Rhetorician is an excellent diplomat, impressing dignitaries with elegant dress and persuasive rhetoric.;Ce personnage est un excellent diplomate qui impressionne les dignitaires par sa rhétorique persuasive et son élégance vestimentaire.;Der charismatische Verhandlungsführer ist ein hervorragender Diplomat. Er beeindruckt Würdenträger mit eleganter Kleidung und überzeugender Rhetorik.;;El negociador carismático es un diplomático excelente e impresiona a los dignatarios con sus elegantes trajes y su persuasiva retórica.;;;;;;;;;x
grey_eminence;Mesmerizing Mouthpiece;Éminence grise;Graue Eminenz;;Eminencia gris;;;;;;;;;x
grey_eminence_desc;The Mesmerizing Mouthpiece is the epitome of statesmanship having fully mastered the art of diplomacy.;Ce personnage est un fin politicien doublé d’un expert en diplomatie.;Die graue Eminenz ist der Inbegriff der Staatskunst und beherrscht die Kunst der Diplomatie bis ins letzte Detail.;;Una eminencia gris es el modelo ideal de político que domina el arte de la diplomacia.;;;;;;;;;x

#STEWARDSHIP
indulgent_wastrel;Parsimonious Proprietor;Vaurien indulgent;Ausschweifender Verschwender;;Derrochador indulgente;;;;;;;;;x
indulgent_wastrel_desc;The Parsimonious Proprietor was groomed to become good with money, and if good means spending it quickly, the Parsimonious Proprietor certainly is.;Ce personnage a reçu une éducation axée sur l’administration, mais n’a rien appris. La seule chose qu’il sache faire avec l’argent, c’est le dilapider.;Der gute Umgang mit Geld wurde dem ausschweifenden Verschwender in die Wiege gelegt. Wenn 'gut' bedeutet, es schnell auszugeben, dann ist er ein Meister seines Faches.;;El derrochador indulgente es un especialista en manejar bien el dinero, y si por bien entendemos gastarlo rápidamente, este personaje cumple su cometido.;;;;;;;;;x
thrifty_clerk;Modest Merchant;Employé économe;Geiziger Kaufmann;;Auxiliar ahorrativo;;;;;;;;;x
thrifty_clerk_desc;The Modest Merchant is a dutiful, if not particularly skilled, administrator.;Ce personnage est un administrateur consciencieux, mais pas particulièrement brillant.;Der geizige Kaufmann ist ein pflichtbewusster, aber nicht besonders fähiger Verwalter.;;El auxiliar ahorrativo, no solo es un administrador responsable, sino que es particularmente hábil en su trabajo.;;;;;;;;;x
fortune_builder;Versatile Vendor;Bâtisseur de fortunes;Karrierekaufmann ;;Creador de fortuna;;;;;;;;;x
fortune_builder_desc;The Versatile Vendor came out of adolescence armed with a well honed business sense, determined to live a life of luxury.;Ce personnage a reçu une éducation axée sur l’administration. Il est doué pour les affaires et pour faire fortune.;Der Karrierekaufmann wuchs mit einem feingeschliffenen Geschäftssinn auf und ist entschlossen, ein luxuriöses Leben zu führen.;;El creador de fortuna despertó de la adolescencia con un buen olfato para los negocios, determinado a vivir una vida de lujos.;;;;;;;;;x
midas_touched;Thriving Trader;Faiseur d’or;Goldvermehrer;;Tocado por Midas;;;;;;;;;x
midas_touched_desc;This character is truly Thriving Trader, never seeming to run out of funds - an excellent choice for Steward and mentor to children destined to become administrators.;Ce personnage est un maître de l’administration, très doué pour gérer les biens. Il fait un excellent Intendant et peut enseigner l’administration.;Diesen Charakter scheint niemals das Geld auszugehen, was ihn zu einem hervorragenden Verwalter macht. Auch als Vormund für Kinder, die Verwalter werden sollen, gibt er eine gute Figur ab.;;Es como si Midas hubiera tocado realmente a este personaje, parece que nunca le faltara el dinero.;;;;;;;;;x

#MARTIAL
misguided_warrior;Scrappy Sluggard;Guerrier malavisé;Törichter Krieger;;Guerrero descarriado;;;;;;;;;x
misguided_warrior_desc;The Scrappy Sluggard was trained in warfare and the martial arts, but sadly lacks all talent for it.;Ce personnage a reçu une éducation axée sur la compétence martiale, mais ne semble pas en avoir tiré d’enseignements.;Der törichte Krieger wurde in der Kriegsführung und den Kampfkünsten unterwiesen, aber leider fehlt ihm dafür jegliches Talent.;;El guerrero descarriado ha recibido formación para el combate y la guerra, pero carece del talento necesario.;;;;;;;;;x
tough_soldier;Doughty Disputant;Soldat endurci;Zäher Soldat;;Soldado aguerrido;;;;;;;;;x
